Variety,AHs/Cs,C2sfc,Ci/Ca,Ci_Pa,CndCO2,CndTotal,CO2S,Cond,CTleaf,Fo,Fm,Fv,H20diff,H2o_i,H2OS,Photo,PARabs,PhiCO2,qN_Fo,RH_S,SVTleaf,Trans,VpdL,CO2S/CO2R,H2OS/H2OR,RH_S/RH_R,Zscore
2L2025,-0.023718068,349.323531,197.9839307,4828.642125,0.007540692,0.012061639,313.6962128,0.012085821,39.59957123,106.4066086,402.9447937,296.5381851,53.15659487,72.87240135,19.71580648,-245.1613303,2.435002871,-98.22231453,1.417503867,26.93816757,7.259011987,0.00062289,5.300301028,2.091879552,1.021103672,1.021593555,0.570264018
Canadensis ,-0.052863737,364.4992456,243.9299188,6514.777848,0.018833508,0.030112086,326.3667068,0.03026256,36.51427364,125.2710609,590.9477845,465.6767235,42.10104181,61.69669082,19.595649,-262.4004384,2.455416675,-107.2223491,1.27277649,30.85833263,6.146718124,0.001083228,4.199295271,2.158217309,1.037287587,1.037788437,-0.31136376
Danhong,-0.023057743,346.6273261,202.5085583,4996.94587,0.002906726,0.00465029,311.1840134,0.004653574,39.45824242,194.635109,544.7670288,350.1319199,51.4980172,72.30878771,20.81077051,-243.895138,2.098497146,-97.79827224,1.537589421,28.71002769,7.203073294,0.000294647,5.13565395,2.099658423,1.00947722,1.009901393,0.714574083
DD102-4,-0.022381815,441.8259629,34.89401441,1461.971191,0.033922136,0.054220172,402.6017838,0.054607094,38.00708675,113.3291454,583.7099915,470.380846,48.99888745,66.86076358,17.86187613,-269.9123145,2.366650542,-112.7535166,1.243973028,27.30462909,6.660186239,0.002424871,4.885327425,1.806840525,1.097546254,1.096838355,-0.659417544
Flevo,-0.030490244,359.3580164,2735.05275,74823.85376,0.007875279,0.012588966,322.366745,0.012669192,36.7089138,148.0122185,621.5926972,473.5804787,43.2156354,62.39486449,19.17922908,-254.5470657,2.088361001,-104.7475104,1.318725942,29.58790624,6.215960062,0.00047806,4.310197492,2.116335547,1.016491503,1.016703454,-0.149084082
I-214,-0.008202566,441.7644615,115.1103352,4834.314322,0.020541917,0.032841362,402.7384796,0.033021108,37.57780075,131.6443501,706.985672,575.3413219,48.58012663,65.31958292,16.73945629,-268.5484649,2.414497799,-112.4430723,1.228876564,25.83381951,6.50662729,0.001345001,4.843509272,1.801349728,1.055283064,1.055383217,-1.018704692
I-45-51,-0.013247404,446.9179536,-114.2008008,-4765.922823,0.021364039,0.034151861,406.8506622,0.034366021,37.7975092,116.1083012,567.3996277,451.2913265,49.0265219,66.10304747,17.07652557,-275.7140006,2.399943053,-114.3031535,1.262079889,26.23474812,6.58464556,0.001433965,4.888003569,1.824946703,1.057989058,1.057996524,-0.702652584
I-63,-0.032678625,384.4115695,-28.23295326,-1078.517853,0.026433519,0.042238991,343.0430069,0.042622142,36.77404404,209.6605072,691.960968,482.3004608,42.80082317,62.6614488,19.86062562,-284.6684044,1.956760222,-113.3400168,1.426479698,30.29381943,6.242086608,0.001447098,4.26872546,2.240690949,1.049383715,1.049120487,0.244020869
I-69,-0.020989631,344.9812803,198.5183766,4846.854294,0.010149757,0.016228487,309.7791901,0.016306239,39.45805741,199.6658936,601.9098587,402.2439652,51.21269666,72.30698214,21.09428549,-242.2352202,2.010367571,-96.79191575,1.487732926,29.12411308,7.203004289,0.000731876,5.107385268,2.092795599,1.023104385,1.023424453,0.356889463
I-72,-0.02760976,348.8353022,197.2606025,4799.062432,0.0068413,0.010939365,312.8532486,0.010986226,39.43990803,212.7981568,617.7488862,404.9507294,51.32702678,72.23513215,20.90810537,-247.6023615,2.01983944,-100.2549743,1.528221309,28.8857975,7.195871609,0.00053023,5.118734744,2.121650125,1.016864798,1.017227181,-0.12622992
Juba,-0.023899396,347.6748711,197.3907529,4804.210656,0.005748578,0.009193986,312.1289139,0.009220058,39.43653012,195.8258667,511.9998474,316.1739807,51.3861164,72.22082891,20.83471251,-244.6014632,2.015439999,-98.30988028,1.611527601,28.83640194,7.19454699,0.000467247,5.124647593,2.098725514,1.014922831,1.015283313,0.528127585
LH04-13,-0.026659767,359.4856747,155.8343593,3860.938454,0.010761147,0.017209126,323.6636391,0.017269943,39.3993988,121.1608849,495.9050446,374.7441597,53.64892893,72.0859782,18.43704927,-246.5012337,2.440893924,-99.60966952,1.359290781,25.49107337,7.181175039,0.000880618,5.349186677,2.034112877,1.032266013,1.032952961,0.845992953
LH04-17,-0.046291164,448.7259269,271.2765175,11337.9573,0.022702441,0.036287334,408.0046616,0.036543407,37.86312485,118.1540814,586.0302429,467.8761616,47.73682619,66.32944597,18.59261978,-280.2141745,2.376015276,-117.1343061,1.255602633,28.43774176,6.608065468,0.001420988,4.760002896,1.845385287,1.052245261,1.05226529,0.348729466
LS68,-0.022686277,365.6020304,136.3000488,3654.950342,0.000697495,0.001114188,327.4934883,0.001126741,39.10244561,118.7336655,559.9017868,441.1681214,53.22694159,70.95571924,17.72877765,-262.2353106,2.312637134,-113.3334898,1.274443445,24.8050009,7.068437328,0.000170769,5.306781892,2.151746099,1.006657201,1.007644731,-0.662543236
LS81,-0.022688437,373.5895451,-87.22631645,-2485.781104,0.001754103,0.002791808,334.2054672,0.002894863,36.14249802,142.6578407,548.9426193,406.2847786,42.50241287,60.42480273,17.92238986,-271.0126216,2.518256396,-110.801921,1.356028085,28.95234752,6.020212081,-0.000122185,4.239419054,2.184262514,0.995108784,0.993917779,0.717527146
Lushan,-0.023181973,441.2797858,-42.00487408,-1763.183534,-0.005294238,-0.008482762,401.9740753,-0.008399686,38.65869045,107.9749565,503.8093262,395.8343697,51.16144374,69.28649226,18.12504852,-270.4733545,2.587415554,-110.4002652,1.273043143,25.91789282,6.901916731,-0.000704671,5.100699332,1.818989127,0.974502941,0.972352097,0.282405203
Ningshanica,-0.033676288,354.6542614,44.23217987,1068.267879,0.004631917,0.007401214,322.1425438,0.007469834,38.85404396,125.3231831,608.5026703,483.1794872,51.99904165,70.0151007,18.01605904,-223.7220296,2.400694551,-92.51636818,1.263171275,25.58396459,6.974623999,0.000618613,5.184081269,1.865358242,1.023660143,1.025966242,-0.843303666
NL895,-0.024266619,378.4471479,-177.6798106,-4810.463215,0.0072746,0.011621577,338.2457199,0.011745633,35.87768841,128.8269406,552.8463287,424.0193882,41.95939704,59.53534342,17.57594639,-276.6370319,2.47008063,-110.6137422,1.303623052,28.89041078,5.931788761,0.000148612,4.185415616,2.205444811,1.004952059,1.0034457,-0.227444975
Raspalje,-0.024001817,346.780538,198.7694252,4856.460498,0.011599541,0.018551088,311.2403107,0.018608164,39.08538151,199.4044037,647.5167999,448.1123963,50.2896244,70.85328073,20.56365633,-244.5620336,2.095969942,-98.17843351,1.464203176,29.44416142,7.059005436,0.000797965,5.015901593,2.103760675,1.025911971,1.02597512,-0.103562886
Triplo,-0.056283541,495.1705096,33.47128135,1427.861956,0.03822531,0.061088763,449.0758286,0.061591733,36.44185066,115.7952156,643.5556641,527.7604485,44.56090132,61.4316229,16.87072158,-317.1901191,2.385323279,-131.5391491,1.220949493,28.71693397,6.119702767,0.002365073,4.443575066,1.888973761,1.101223797,1.098469376,-0.561219766
